Filename,Science_Mean,Science_Std,Reference_Mean,Reference_Std,Diff_Mean,Diff_Std,SNR,Result
SN 2023olz.fits,191.42818,116.69035,2048.8708,713.8087,1854.4073,609.7802,10.380375, Good triplet
SN 2019odm.fits,191.54858,135.17776,1990.9629,860.9505,1794.6067,755.4747,6.5066032, Good triplet
SN 2017ejy.fits,195.78264,294.5872,2014.2179,990.1725,1819.4081,893.0382,9.37174, Good triplet
SN 2022lua.fits,194.22188,199.11896,1911.7084,1373.7114,1700.8746,1208.1343,1.4698446, Moderate triplet
SN 2016er.fits,186.78593,70.44677,1846.3898,559.5209,1659.6035,518.8983,9.35533, Good triplet
SN 2016G.fits,199.14067,223.85947,2148.5752,1670.8779,1941.3169,1524.857,3.7921982, Moderate triplet
SN 2023bmo.fits,189.30376,81.010864,2150.5232,684.6256,1965.776,668.4147,7.9686604, Good triplet
SN 2021zgk.fits,201.13089,180.9345,2105.3203,1683.9944,1886.3796,1496.5776,1.1443341, Moderate triplet
SN 2018hde.fits,216.07367,336.39062,2786.7883,2031.8983,2558.934,1830.9489,1.390816, Moderate triplet
SN 2022acmr.fits,189.0079,37.3847,1689.9161,466.7076,1500.9365,446.8279,7.525411, Good triplet
SN 2023rzh.fits,189.74785,85.17257,1516.0283,924.08093,1315.519,750.3462,9.617036, Good triplet
SN 2011km.fits,189.10861,44.23379,1875.4928,528.3248,1686.3839,502.5309,9.8645115, Good triplet
SN 2022czi.fits,191.14943,50.611202,2015.6315,636.73444,1824.4822,612.6835,8.740295, Good triplet
SN 2023hrk.fits,187.80461,70.909004,1630.5082,641.8988,1438.2354,542.99646,10.799075, Good triplet
SN 2023ijh.fits,192.41324,148.18872,1802.6985,578.4306,1610.301,504.14227,8.840365, Good triplet
SN 2020ue.fits,nan,nan,4284.231,3182.8545,nan,nan,0, Poor triplet
SN 2019plw.fits,189.00809,129.42155,1868.633,809.93933,1679.6681,761.29376,1.662528, Moderate triplet
SN 2018yn.fits,188.29752,40.043316,2269.0442,887.8956,2079.153,860.38245,7.349463, Good triplet
SN 2022aau.fits,nan,nan,4084.9834,3170.4573,nan,nan,0, Poor triplet
SN1995bb.fits,189.13338,102.33465,1748.9233,694.6926,1559.7902,653.6366,9.307062, Good triplet
SN 2021qwf.fits,190.661,37.577305,2105.7744,1092.0918,1915.1216,1072.692,10.404269, Good triplet
SN 2020noz.fits,191.34276,114.067276,1989.5009,650.7951,1803.8464,596.1642,10.544804, Good triplet
SN 2022jo.fits,195.73065,87.0029,2377.9912,1187.6775,2178.8225,1118.0306,8.011436, Good triplet
SN 2023dxl.fits,185.96735,73.20446,2199.6697,640.16016,2013.702,605.3834,8.712869, Good triplet
SN 2023mty.fits,187.68138,21.494717,2012.187,505.90393,1820.3813,417.83255,3.9834468, Moderate triplet
SN 2018joo.fits,196.76585,153.24927,2115.5815,1150.2952,1893.4127,855.98145,10.056304, Good triplet
SN 2025ddd.fits,190.45784,128.02899,1770.2103,860.7654,1575.611,749.3267,11.202978, Good triplet
SN 2019dez.fits,nan,nan,2068.7217,1105.6678,nan,nan,0, Poor triplet
SN 2021inl.fits,189.15091,71.24604,3230.4492,1124.0674,3041.2986,1095.2167,22.033623, Good triplet
SN 2019tqr.fits,190.22313,33.947422,1729.6654,610.5137,1539.4425,590.28217,5.952227, Good triplet
SN 2021daa.fits,198.02519,192.54776,1930.3973,1072.8171,1728.0862,933.1915,1.061587, Moderate triplet
SN1994X.fits,198.4992,129.7635,1851.0388,1029.624,1642.3037,903.53613,3.0170078, Moderate triplet
SN 2023dtc.fits,218.51823,302.64963,3305.9595,3171.3188,3073.2974,3021.473,1.5065184, Moderate triplet
SN 2022wtm.fits,187.2667,79.97055,1848.9849,786.8179,1657.5834,706.6093,4.632129, Moderate triplet
SN 2018htt.fits,195.42833,131.54118,2467.3215,1755.0078,2271.8926,1704.0682,8.977655, Good triplet
SN 2020aaxs.fits,192.84866,81.24158,2462.571,1764.4247,2269.7224,1724.4933,12.287262, Good triplet
PTF11bui.fits,186.54333,24.770618,2300.4932,653.245,2102.977,474.3814,10.362532, Good triplet
SN 2021vaz.fits,204.62126,165.5848,2546.677,1647.2379,2338.2683,1558.937,3.5297382, Moderate triplet
